PN,PNnoun,CorpName
233T3241-1303,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3241-1307,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3241-1310,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3241-1315,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3241-47,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
233T3241-5,"PANEL, WING/ENG. ANTI-ICE CONTROL",BAE SYSTEMS
476W2220-11H,"HANDSET, ATTENDANT",BAE SYSTEMS
476W2220-14B,"HANDSET, ATTENDANT",BAE SYSTEMS
476W2220-7B,"HANDSET, ATTENDANT",BAE SYSTEMS
476W2220-9M,"HANDSET, ATTENDANT",BAE SYSTEMS
4952287-505,"SWITCH, FLAP/SLAT HANDLE POSITION",BAE SYSTEMS
381066-1,"VALVE, SOLENOID",HONEYWELL
0102AW1AF1,"SENSOR, TOTAL TEMPERATURE",GOODRICH
0123CH1B,"DETECTOR, LOW FLOW",GOODRICH
020-016-005,"TRANSMITTER, FUEL QTY",PARKER
020-016-011,"TRANSMITTER, FUEL QTY",PARKER
020-016-035M,"TRANSMITTER, FUEL QTY",PARKER
020-016-042,"TRANSMITTER, FUEL QTY",PARKER
020-016-086,"TRANSMITTER, FUEL QTY",PARKER
020-016-102,"TRANSMITTER, FUEL QTY",PARKER
020-016-105,"TRANSMITTER, FUEL QTY",PARKER
020-070-009,"UNIT, FUEL QTY TANK",PARKER
020-070-011,"UNIT, FUEL QTY TANK",PARKER
020-238-114,"PROBE, FUEL",PARKER
30-100-02,"CLOCK, ELECTRONIC CHRONOMETER",HONEYWELL.
30-100-14,"CLOCK, ELECTRONIC CHRONOMETER",HONEYWELL.
30-1526-5,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1526-5,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1637-7,"LIGHT, WING ILLUMINATION",HONEYWELL
30-1742-8,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-1768-4,"LIGHT, AFT GROUND",HONEYWELL.
30-1883,"FLOODLIGHT, WING AND NACELLE INSPECTION",HONEYWELL
30-2044-1,"LIGHT, ASSY",HONEYWELL
30-2407-1,"LIGHT, TAIL POSITION",HONEYWELL
30-2414-1,"LIGHT, REAR POSITION NAV.",HONEYWELL
30-2529-1,"LIGHT, EMERGENCY OVERWING ESCAPE",HONEYWELL
30-2659-1,"LIGHT, UPPER STROBE ANTICOLLISION",HONEYWELL.
30-2667-1,"LIGHT, WINGTIP/TAIL POSITION STROBE",HONEYWELL.
45-0060-10,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0083-7,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
10-1005-239,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1005-242,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-285,"SIGN, WHITE LAV/OCCUPIED ILLUMINATED",HONEYWELL.
10-1005-71,"SIGN, BEIGE LAV. OCCUPIED ILL. INTERIOR",HONEYWELL.
10-1007-25,"LIGHT, FLUORESCENT WINDOW",HONEYWELL
10-1070-101,"SIGN, INT/ILLUMINATED EXIT",HONEYWELL
10-1072-102,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1072-105,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1073-101C,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1073-101J,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-1073-102C,"SIGN, INTERIOR ILL. EXIT",HONEYWELL
10-10741-51B,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL
10-10741-52K,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL
10-10741-52P,"SIGN, INT. ILLUMINATED EXIT",HONEYWELL
10-1178-12,"UNIT, PASSENGER SERVICE",HONEYWELL.
1954355-4-SB3,"CONTROL, AUTO THROTTLE",HONEYWELL
1978128-1,"INDICATOR, ATTITUDE",HONEYWELL
3272604-2,"GEARBOX, BALLSCREW ASSY",HONEYWELL
3282812-4AB,"SWITCH, LIMIT",HONEYWELL
32EN14-4,"SWITCH, ENCLOSED",HONEYWELL
331-0004-01,"VALVE, WASTE DRAIN",PARKER
4034236-905,"DRUM/HOUSING, ASSY",HONEYWELL.
4034240-901,"PANEL, VHF/NAV CONTROL",HONEYWELL
4034240-901,"PANEL, VHF/NAV CONTROL",HONEYWELL
4034242-994,"PANEL, FLIGHT GUIDANCE CONTROL",HONEYWELL
4038890-950,"PANEL, MODE CONTROL",HONEYWELL
4039891-904,"INDICATOR, MACH/AIRSPEED",HONEYWELL.
4050270-904,"INDICATOR, HORIZON",HONEYWELL
4050270-905,"INDICATOR, HORIZON",HONEYWELL
7014332-912,"CONTROLLER, BEZEL",HONEYWELL
7014332-926,"CONTROLLER, BEZEL",HONEYWELL
7016986-126,"CONTROLLER, DISPLAY",HONEYWELL
7016986-205,"CONTROLLER, DISPLAY",HONEYWELL
7016986-217,"CONTROLLER, DISPLAY",HONEYWELL
7016986-604,"CONTROLLER, DISPLAY",HONEYWELL
7016986-714,"CONTROLLER, DISPLAY",HONEYWELL
7016986-723,"CONTROLLER, DISPLAY",HONEYWELL
121762-4,"SHAFT, FLEXIBLE",HONEYWELL
21B73-1D,"UNIT, GENERATOR CONTROL",HONEYWELL
21B73-2-B,"UNIT, GENERATOR CONTROL",HONEYWELL
2863-1051,"LATCH, ASSY",ADAMS RITE
60B0048-1,"VALVE, MOTOR OPERATED AIR SHUTOFF",HONEYWELL
60B92018-208,PROCESSOR,GOODRICH
78169-03,"MODULE, AUTOBRAKE CONTROL",PARKER
967-0212-001,"UNIT, DIGITAL FLIGHT DATA ACQUISITION",HONEYWELL
968214-12,"VALVE, RELIEF",HONEYWELL
968214-3,"VALVE, RELIEF",HONEYWELL
9693--9-3,STARTER,ADAMS RITE
9693-21-1,STARTER,ADAMS RITE
9693-23-1,STARTER,ADAMS RITE
9693-7-1,STARTER,ADAMS RITE
975-0018-XXX,"SWITCH, THERMAL",HONEYWELL
975-0145-006,"SWITCH, TEMPERATURE",HONEYWELL
975-0172-001,"SWITCH, THERMAL",HONEYWELL
020-016-012,"TRANSMITTER, FUEL QTY",PARKER
020-016-018,"TRANSMITTER, FUEL QTY",PARKER
020-016-031,"TRANSMITTER, FUEL QTY",PARKER
020-016-064,"TRANSMITTER, FUEL QTY",PARKER
020-016-084,"TRANSMITTER, FUEL QTY",PARKER
020-016-101,"TRANSMITTER, FUEL QTY",PARKER
020-016-106,"TRANSMITTER, FUEL QTY",PARKER
020-016-122,"TRANSMITTER, FUEL QTY",PARKER
020-070-005,"UNIT, FUEL QTY TANK",PARKER
30-0909-1,"LIGHT, TAIL POSITION STROBE",HONEYWELL
30-100-01,"CLOCK, ELECTRONIC CHRONOMETER",HONEYWELL.
30-1099-1,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1099-1,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1133-4M,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1133-6,"LIGHT, NAVIGATION WING ",HONEYWELL.
30-1526-9,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1526-9,"LIGHT, STROBE ANTICOLLISION",HONEYWELL.
30-1637-8,"LIGHT, WING ILLUMINATION",HONEYWELL
30-1691-4,"LIGHT, WING ANTICOLLISION",HONEYWELL
30-1742-1,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-1742-4,"LIGHT, EMERGENCY EGRESS",HONEYWELL
30-1768-8,"LIGHT, AFT GROUND",HONEYWELL.
30-1770-2,"LIGHT, FORWARD GROUND ILL./SLIDE",HONEYWELL.
30-1953-7,"LIGHT, NAV/ANTI-COLLISION TAIL POST.",HONEYWELL.
30-1956-1,"FLOODLIGHT, EMER/EXIT",HONEYWELL.
30-2044-5,"LIGHT, ASSY",HONEYWELL
30-2335-1,"LIGHT, ANTI-COLLISION STROBE",HONEYWELL.
30-2505-3,"LIGHT, UPPER FUSELAGE ANTI-COLLISION",HONEYWELL
30-2529-3,"LIGHT, EMERGENCY OVERWING ESCAPE",HONEYWELL
30-2667-3,"LIGHT, WINGTIP/TAIL POSITION STROBE",HONEYWELL.
30-2672-4,"FLOODLIGHT, WING INSPECTION",HONEYWELL
360-012-001,POWER SUPPLY,PARKER
45-0060-13,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0083-3,"LIGHT, RETRACTABLE LANDING",HONEYWELL.
45-0263-11,"LIGHT, RETRACTABLE LANDING",HONEYWELL
45-0263-503,"LIGHT, RETRACTABLE LANDING",HONEYWELL
80-0611-7,"PANEL, STANDBY ANNUNCIATOR",HONEYWELL
15-0003-11,"FLOODLIGHT, INSTRUMENT",HONEYWELL
15-0007-15,"LIGHT, COCKPIT UTILITY",HONEYWELL.
15-0069-13,SPOTLIGHT,HONEYWELL
15-0103-3,"LIGHT, DOME ASSY",HONEYWELL.
15-0188-013,"LIGHT, DOME",HONEYWELL
15-0726-5,"LIGHT, COCKPIT CHART",HONEYWELL
32-2684-007,"VALVE, AIR SHUTOFF",HONEYWELL
320362-4-1,"VALVE, SOLENOID SHUTOFF",HONEYWELL
320522-3,"VALVE, DIRECTIONAL PILOT SOLENOID",HONEYWELL
321-404-604-0,"BEAM, HARNESS",GOODRICH
400267,"CLOCK, MECHANICAL",WALTHAMN
400300-3,"VALVE, SHUT OFF",ADAMS RITE
4006534,"TRANSMITTER, LIQUID QUANTITY",GOODRICH
4019700-904,"INDICATOR, ATTITUDE DIRECTOR",HONEYWELL
